CAMPAIGN_NAME,AD_GROUP,SPEND,MONTH
all_en_src_br_conv,br_br_im,40026,9/1/2024
all_en_src_br_conv,br_br_rm,38838,11/1/2024
all_en_src_br_conv,br_br_rm,22356,12/1/2024
all_en_src_br_conv,br_br_rm,34211,8/1/2024
all_en_src_br_conv,br_br_rm,43862,10/1/2024
us_en_src_unbr_cons,grc_grc_software,8036,5/1/2024
all_en_src_br_conv,br_br_im,14419,8/1/2024
us_en_src_unbr_cons,grc_grc_software,12171,4/1/2024
us_en_src_unbr_cons,grc_ra_software,17617,10/1/2024
all_en_src_br_conv,br_br_im,41555,10/1/2024
us_en_src_unbr_cons,grc_com_software,33886,10/1/2024
us_en_src_unbr_cons,grc_rm_software,29307,2/1/2025
us_en_src_unbr_cons,grc_grc_software,22584,3/1/2024
us_en_src_unbr_cons,grc_tprm_software(vendor),19825,10/1/2024
all_en_src_br_conv,br_br_rm,20213,7/1/2024
all_en_src_br_conv,br_br_rm,32470,9/1/2024
us_en_src_unbr_cons,cs_img_software,37471,2/1/2024
us_en_src_unbr_cons,grc_soc2_software,16120,2/1/2024
us_en_src_unbr_cons,grc_rm_best,48226,9/1/2024
all_en_src_br_conv,br_br_rm,49731,1/1/2025
ca_en_src_unbr_cons,grc_com_software,44557,10/1/2024
uk_en_src_unbr_cons,grc_rm_software,11594,6/1/2024
us_en_src_unbr_cons,grc_com_software,28639,7/1/2024
us_en_src_unbr_cons,grc_soc2_software,26710,3/1/2024
us_en_src_unbr_cons,grc_grc_software,46349,2/1/2024
us_en_src_unbr_cons,grc_rm_best,12033,10/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_rm,13579,10/1/2024
us_en_src_unbr_cons,cs_icm_software,10548,3/1/2024
us_en_src_unbr_cons,grc_com_software,12089,9/1/2024
us_en_src_unbr_cons,grc_erm_software,7744,2/1/2024
us_en_src_unbr_cons,grc_ra_software,1638,9/1/2024
us_en_src_unbr_cons,grc_rm_software,25560,10/1/2024
us_en_src_unbr_cons,grc_com_software,42468,8/1/2024
us_en_src_unbr_cons,grc_tprm_software(vendor),24873,6/1/2024
us_en_src_unbr_cons,grc_rm_software,22287,9/1/2024
us_en_src_unbr_cons,grc_tprm_software(vendor),8030,9/1/2024
all_en_src_br_conv,br_br_pure,15004,2/1/2025
us_en_src_unbr_cons,grc_erm_software,16058,1/1/2024
uk_en_src_unbr_cons,grc_com_software,25481,10/1/2024
us_en_src_unbr_cons,cs_im_misc,32593,3/1/2025
us_en_src_unbr_cons,grc_rm_platform,28753,1/1/2024
us_en_src_unbr_cons,grc_rm_software,24833,1/1/2024
us_en_src_unbr_cons,cs_im_trasof,13289,10/1/2024
us_en_src_unbr_cons,cs_icm_software,19141,2/1/2024
us_en_src_unbr_cons,cs_im_trasof,33464,9/1/2024
us_en_src_unbr_cons,grc_grc_software,12267,1/1/2024
us_en_src_unbr_cons,grc_iso27001_software,20287,1/1/2024
ca_en_src_unbr_cons,grc_itc_software,21512,3/1/2024
us_en_src_unbr_cons,grc_ra_tool,17397,10/1/2024
ca_en_src_unbr_cons,grc_rm_software,26289,1/1/2024
us_en_src_unbr_cons,cs_cm_software,44523,9/1/2024
us_en_src_unbr_cons,grc_com_solution,6226,7/1/2024
uk_en_src_unbr_cons,grc_com_software,13177,9/1/2024
us_en_src_unbr_cons,grc_soc2_software,7062,7/1/2024
us_en_src_unbr_cons,grc_erm_software,6224,3/1/2024
all_en_src_br_conv,br_br_pure,14051,3/1/2024
all_en_src_br_conv,br_br_pure,49786,1/1/2025
uk_en_src_unbr_cons,grc_rm_software,553,10/1/2024
us_en_src_unbr_cons,grc_rm_tool,40443,3/1/2024
uk_en_src_unbr_cons,grc_grc_software,17836,4/1/2024
uk_en_src_unbr_cons,grc_erm_software,34067,10/1/2024
ca_en_src_unbr_cons,grc_ra_software,42848,9/1/2024
all_en_src_br_conv,br_br_pure,48104,11/1/2024
us_en_src_unbr_cons,grc_com_solution,14211,9/1/2024
us_en_src_unbr_cons,grc_rm_software,15267,3/1/2025
uk_en_src_unbr_cons,grc_ra_tool,3394,6/1/2024
us_en_src_unbr_cons,grc_rm_platform,25997,3/1/2024
us_en_src_unbr_cons,grc_rm_platform,32715,2/1/2024
all_en_src_br_conv,br_br_im,28257,7/1/2024
us_en_src_unbr_cons,cs_im_misc,12288,2/1/2025
us_en_src_unbr_cons,grc_iso27001_software,44039,2/1/2024
uk_en_src_unbr_cons,grc_grc_software,28372,1/1/2024
uk_en_src_unbr_cons,grc_rm_software,9931,9/1/2024
us_en_src_unbr_cons,cs_img_software,26676,3/1/2024
ca_en_src_unbr_cons,grc_grc_software,2722,5/1/2024
all_en_src_br_conv,br_br_pure,11649,10/1/2024
us_en_src_unbr_cons,cs_im_trasof,44305,3/1/2025
us_en_src_unbr_cons,grc_rm_solution,15837,9/1/2024
us_en_src_unbr_cons,grc_rcm_software,15744,10/1/2024
all_en_src_br_conv,br_br_pure,8305,12/1/2024
us_en_src_unbr_cons,grc_rm_solution,40753,7/1/2024
all_en_src_br_conv,br_br_pure,21425,2/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,49683,1/1/2025
us_en_src_unbr_cons,grc_com_software,35809,6/1/2024
us_en_src_unbr_cons,grc_rm_tool,13226,2/1/2024
us_en_src_unbr_cons,cs_im_best,15973,10/1/2024
us_en_src_unbr_cons,grc_erm_software,15015,4/1/2024
ca_en_src_unbr_cons,grc_com_software,21842,9/1/2024
all_en_src_br_conv,br_br_pure,20479,5/1/2024
ca_en_src_unbr_cons,grc_grc_software,36391,3/1/2024
uk_en_src_unbr_cons,grc_ra_tool,27506,10/1/2024
all_en_src_br_conv,br_br_pure,35755,4/1/2024
us_en_src_unbr_cons,grc_rm_solution,22114,6/1/2024
uk_en_src_unbr_cons,grc_grc_software,4276,5/1/2024
us_en_src_unbr_cons,grc_tprm_software(vendor),23689,12/1/2024
all_en_src_br_conv,br_br_pure,21238,7/1/2024
us_en_src_unbr_cons,grc_reg_software,10790,7/1/2024
all_en_src_br_conv,br_br_pure,43448,3/1/2025
us_en_src_unbr_cons,cs_im_ressof,35646,3/1/2025
us_en_src_unbr_cons,grc_rm_software,40356,3/1/2024
all_en_src_br_conv,br_br_pure,35776,6/1/2024
us_en_src_unbr_cons,grc_com_bank,18157,10/1/2024
ca_en_src_unbr_cons,grc_grc_software,42323,4/1/2024
ca_en_src_unbr_cons,grc_ra_software,37904,10/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,43864,11/1/2024
all_en_src_br_conv,br_br_pure,33218,8/1/2024
us_en_src_unbr_cons,grc_com_software,29810,12/1/2024
us_en_src_unbr_cons,cs_im_software,27467,10/1/2024
ca_en_src_unbr_cons,grc_com_software,40152,6/1/2024
us_en_src_unbr_cons,cs_im_misc,3541,1/1/2025
us_en_src_unbr_cons,grc_com_software,34554,11/1/2024
us_en_src_unbr_cons,grc_soc2_software,8802,4/1/2024
uk_en_src_unbr_cons,grc_ra_tool,28605,11/1/2024
ca_en_src_unbr_cons,grc_rm_software,29428,3/1/2024
us_en_src_unbr_cons,cs_cm_software,23209,12/1/2024
us_en_src_unbr_cons,grc_rm_system,7179,3/1/2024
us_en_src_unbr_cons,cs_im_repsof,32743,9/1/2024
us_en_src_unbr_cons,cs_img_software,40704,5/1/2024
us_en_src_unbr_cons,grc_com_software,24636,2/1/2025
us_en_src_unbr_cons,grc_erm_software,19622,10/1/2024
us_en_src_unbr_cons,grc_soc2_software,1847,1/1/2024
us_en_src_unbr_cons,grc_erm_software,34501,5/1/2024
uk_en_src_unbr_cons,grc_ra_tool,26513,9/1/2024
us_en_src_unbr_cons,cs_cm_software,9895,1/1/2025
us_en_src_unbr_cons,cs_icm_software,13085,4/1/2024
us_en_src_unbr_cons,cs_cm_software,16302,8/1/2024
us_en_src_unbr_cons,grc_rgc_software,28743,3/1/2024
ca_en_src_unbr_cons,grc_rm_software,6480,4/1/2024
uk_en_src_unbr_cons,grc_rm_software,24194,5/1/2024
uk_en_src_unbr_cons,grc_tprm_software(vendor),24877,10/1/2024
ca_en_src_unbr_cons,grc_erm_software,45157,1/1/2024
us_en_src_unbr_cons,grc_rm_solution,41128,12/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,43417,4/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,27352,5/1/2024
ca_en_src_unbr_cons,grc_ra_software,48652,3/1/2025
uk_en_src_unbr_cons,grc_grc_software,31292,3/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,5447,7/1/2024
ca_en_src_unbr_cons,grc_rcm_software,36227,10/1/2024
all_en_src_br_conv,br_br_pure,47910,9/1/2024
us_en_src_unbr_cons,cs_im_repsof,20044,10/1/2024
us_en_src_unbr_cons,grc_bcm_software,24841,8/1/2024
us_en_src_unbr_cons,grc_rm_solution,13103,3/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,35878,10/1/2024
ca_en_src_unbr_cons,grc_grc_software,13682,1/1/2024
us_en_src_unbr_cons,grc_itr_software,27854,9/1/2024
us_en_src_unbr_cons,grc_ra_tool,11354,12/1/2024
uk_en_src_unbr_cons,grc_ra_tool,8605,12/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,25683,6/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,2643,8/1/2024
us_en_src_unbr_cons,cs_cc_security,22711,3/1/2024
us_en_src_unbr_cons,cs_icm_system,25718,2/1/2024
us_en_src_unbr_cons,cs_im_software,31588,9/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,1293,12/1/2024
us_en_src_unbr_cons,cs_im_repsof,35627,6/1/2024
us_en_src_unbr_cons,grc_ra_tool,27745,9/1/2024
us_en_src_unbr_cons,grc_rm_solution,4443,2/1/2024
us_en_src_unbr_cons,grc_ra_tool,43278,3/1/2024
ca_en_src_unbr_cons,cs_img_safety,29070,1/1/2024
ca_en_src_unbr_cons,infosec_itc_tool,22560,3/1/2024
us_en_src_unbr_cons,cs_cm_software,9900,11/1/2024
us_en_src_unbr_cons,cs_img_software,27761,4/1/2024
us_en_src_unbr_cons,grc_rm_solution,10407,10/1/2024
us_en_src_unbr_cons,cs_im_misc,32195,12/1/2024
us_en_src_unbr_cons,grc_rm_solution,14807,1/1/2025
us_en_src_unbr_cons,grc_com_bank,5999,9/1/2024
us_en_src_unbr_cons,grc_erm_software,24485,9/1/2024
ca_en_src_br_conv_paused Nov 2024,br_br_pure,19568,3/1/2024
ca_en_src_unbr_cons,grc_grc_automation,47165,5/1/2024
us_en_src_unbr_cons,cs_img_software,30357,1/1/2024
