SBQQ__OPPORTUNITY2__C,SBQQ__PRIMARY__C,TOTAL_AMOUNT__C,TOTAL_INCREMENTAL_ARR__C
006OJ00000HY9QUYA1,true,52479,90960
006OJ00000IkzMIYAZ,true,93565,64461
006OJ00000IkrIHYAZ,false,67338,94981
006OJ00000IkrIHYAZ,true,55165,78063
006OJ00000HSEFzYAP,true,36160,68719
006OJ00000HvFdIYAV,true,89158,47302
006OJ00000IiYDJYA3,true,96092,52161
006OJ00000IiZhFYAV,true,56893,35192
006OJ00000IEKkTYAX,true,81026,50245
006OJ00000HOUROYA5,true,68212,50179
006OJ00000I7xIkYAJ,true,95989,60938
006OJ00000I3aRBYAZ,true,45927,47935
006OJ00000IVqSzYAL,true,80304,95171
006OJ00000FoCOlYAN,true,78431,93692
006OJ00000IVf1JYAT,true,72904,98682
006OJ00000IWETiYAP,true,56630,40192
006OJ00000ITQ6PYAX,true,87602,58185
006OJ00000ISlsrYAD,true,74796,92291
006OJ00000ISo5xYAD,true,96089,73364
006OJ00000I12gZYAR,true,58372,62851
006OJ00000I1GpyYAF,true,96247,33950
006OJ00000I1OCPYA3,true,50006,65138
006OJ00000IH2npYAD,true,49436,97044
006OJ00000FgJ8rYAF,true,62639,54218
006OJ00000IJKAMYA5,true,91430,44500
006OJ00000IJekAYAT,true,78866,89798
006OJ00000I1O9BYAV,true,92523,68244
006OJ00000HiAMrYAN,true,87856,32802
006OJ00000IIHzJYAX,true,35147,37541
006OJ00000I62hWYAR,true,47867,37667
006OJ00000IIWtVYAX,true,90121,46506
006OJ00000IIPwrYAH,true,99159,43350
006OJ00000II6NxYAL,true,36256,87048
006OJ00000II38PYAT,true,39830,54931
006OJ00000I884XYAR,true,56569,60963
006OJ00000II7K1YAL,true,46309,91615
006OJ00000I5qGXYAZ,true,93908,71824
006OJ00000I903GYAR,true,65808,69809
006OJ00000HkHbxYAF,true,36922,55012
006OJ00000I8RFBYA3,true,49031,69466
006OJ00000I8h8fYAB,true,43518,53534
006OJ00000GZ4h3YAD,true,43641,80254
006OJ00000I8sqUYAR,true,50509,89822
006OJ00000I65gzYAB,true,35597,40403
006OJ00000I8gvlYAB,true,38989,78451
006OJ00000HU9fBYAT,true,30307,36966
006OJ00000I7d0hYAB,true,60574,47607
006OJ00000H5znSYAR,true,43307,32865
006OJ00000I6dKUYAZ,true,57234,50151
006OJ00000Gj8WTYAZ,true,90713,64851
006OJ00000I6GVzYAN,true,47908,82900
006OJ00000I5wiXYAR,true,63664,47247
006OJ00000HgEO9YAN,true,62055,53171
006OJ00000HRuXNYA1,true,97121,42876
006OJ00000I7mNnYAJ,true,85115,75634
006OJ00000FgIUXYA3,true,65591,98239
006OJ00000I3ZIDYA3,true,78258,97489
006OJ00000I3aPZYAZ,true,35501,54329
006OJ00000I3YQzYAN,true,67741,83167
006OJ00000I3luTYAR,true,78737,32552
006OJ00000I3WNbYAN,true,80588,94553
006OJ00000I3ziwYAB,true,53242,74384
006OJ00000HGkrVYAT,true,51808,40512
006OJ00000I4C6gYAF,true,84277,35732
006OJ00000CxDdSYAV,true,75173,73702
006OJ00000I4mGbYAJ,true,70606,45816
006OJ00000GeUm9YAF,true,55779,91531
006OJ00000I1BAOYA3,true,78888,84555
006OJ00000I1FFZYA3,true,80471,61477
006OJ00000I1HsTYAV,true,83793,44078
006OJ00000I1Gy1YAF,true,33254,99697
006OJ00000I1KYdYAN,true,66962,96639
006OJ00000I1G1xYAF,true,78649,46774
006OJ00000I1HIzYAN,true,48769,84844
006OJ00000I1FvVYAV,true,37805,31133
006OJ00000I1DH0YAN,true,46158,45295
006OJ00000I1GunYAF,true,34777,75582
006OJ00000I1GbRYAV,true,44279,73155
006OJ00000I1HXVYA3,true,35510,55978
006OJ00000I1BANYA3,true,31306,41435
006OJ00000I1OAnYAN,true,52156,87686
006OJ00000I1BIRYA3,true,71129,80550
006OJ00000I14yVYAR,true,85723,64993
006OJ00000I1G0MYAV,true,84193,61663
006OJ00000I1GZpYAN,true,45552,79994
006OJ00000I1BogYAF,true,83166,37518
006OJ00000I1HHNYA3,true,74354,32945
006OJ00000I1ND8YAN,true,51753,57663
006OJ00000I1FDxYAN,true,74781,65713
006OJ00000I1I0XYAV,true,68927,54464
006OJ00000I1GgHYAV,true,65970,61302
006OJ00000I1AO1YAN,true,99960,71317
006OJ00000I1O7ZYAV,true,78882,83409
006OJ00000I1HAvYAN,true,71816,73441
006OJ00000I1ERZYA3,true,88177,89889
006OJ00000I1EmYYAV,true,34466,63106
006OJ00000I1Iv2YAF,true,66319,97227
006OJ00000I1GA2YAN,true,36462,76058
006OJ00000I1F5tYAF,true,40600,49068
006OJ00000I1EeTYAV,true,79700,73881
006OJ00000I1C6QYAV,true,40274,46827
006OJ00000I1FCLYA3,true,31085,99736
006OJ00000I1Gd3YAF,true,74450,66274
006OJ00000I17ZqYAJ,true,43402,30902
006OJ00000I1EWPYA3,true,41139,94915
006OJ00000I1F7VYAV,true,85138,67572
006OJ00000I1H2rYAF,true,46516,46538
006OJ00000I1AEJYA3,true,47887,39443
006OJ00000I1ETBYA3,true,70725,95779
006OJ00000I1H7iYAF,true,90861,61168
006OJ00000I1HSfYAN,true,79372,37859
006OJ00000I1HE9YAN,true,87187,61964
006OJ00000I1BrvYAF,true,92786,79733
006OJ00000I1NQ3YAN,true,51369,92052
006OJ00000I11SlYAJ,true,81759,71297
006OJ00000I1GZqYAN,true,67221,50370
006OJ00000I1DIdYAN,true,46479,30468
006OJ00000I1HyvYAF,true,40776,71572
006OJ00000I1E9sYAF,true,64458,50845
006OJ00000I1BQUYA3,true,93146,32661
006OJ00000I1DX8YAN,true,99394,47562
006OJ00000I1CG6YAN,true,84079,91335
006OJ00000I1HCXYA3,true,62517,55527
006OJ00000HhiVTYAZ,true,51836,44069
006OJ00000I1HZ7YAN,true,72509,43924
006OJ00000I1Hm1YAF,true,65643,79874
006OJ00000I1HxJYAV,true,82395,67343
006OJ00000I1EpmYAF,true,38913,58339
006OJ00000I1HUHYA3,true,35918,92994
006OJ00000I1CCuYAN,true,66809,41545
006OJ00000I1G3ZYAV,true,43277,87504
006OJ00000I1GhtYAF,true,35505,38923
006OJ00000I1BIQYA3,true,98793,61549
006OJ00000I1H4UYAV,true,61362,94146
006OJ00000I1GjVYAV,true,43322,89241
006OJ00000I1Cj8YAF,true,86389,50897
006OJ00000I1CrCYAV,true,86146,85657
006OJ00000I1G6nYAF,true,60058,80071
006OJ00000I1DLrYAN,true,70642,81240
006OJ00000I1HMEYA3,true,35230,53380
006f100000fk7eyAAA,true,59457,50962
0063Z00000fb7ilQAA,true,72227,99617
0063Z00000fb7IYQAY,true,95401,44036
006f100000fBHJOAA4,true,65899,38828
0063Z00000fb8AuQAI,true,99567,47920
0063Z00000fb6ioQAA,false,46819,93840
0063Z00000fb6ioQAA,false,45507,50194
0063Z00000fbAOhQAM,true,68373,38802
0063Z00000fbAPGQA2,true,55976,42786
0063Z00000fbATrQAM,true,50210,47695
006f100000fk5NBAAY,true,62138,42554
,true,78015,84703
0063Z00000fbB9DQAU,true,43257,64951
006f100000esSztAAE,true,54624,43203
0063Z00000fbBXRQA2,true,92872,40800
0063Z00000fbBkpQAE,true,38097,47080
0063Z00000fbC6WQAU,true,37274,86783
006f100000fjqFqAAI,true,53329,85950
006f100000fAu2PAAS,true,37102,67180
0063Z00000fbCcSQAU,true,48675,48007
006f100000dwhchAAA,true,80506,63991
006f100000dxuVSAAY,true,71783,33792
006f100000fBpmvAAC,true,42014,43049
0063Z00000fbCzqQAE,true,85455,81333
,true,58418,84979
,true,71376,93629
0063Z00000fbCVgQAM,true,36702,41912
0063Z00000fbDdbQAE,true,96973,74991
0063Z00000fbDy6QAE,true,89333,54776
0063Z00000fbEjAQAU,true,61695,43457
0063Z00000fbEcxQAE,true,85759,43280
0063Z00000fbFEDQA2,true,71438,63785
0063Z00000fb7m9QAA,true,81274,42893
006f100000fjhqYAAQ,true,64037,73057
0063Z00000fwGScQAM,true,99397,76481
0063Z00000fwH0JQAU,true,45502,64092
0063Z00000fwH3SQAU,true,78043,91928
0063Z00000fwHAEQA2,true,34449,32309
0063Z00000fwHBCQA2,true,65291,64894
0063Z00000fwHCtQAM,true,67795,88940
0063Z00000fwHLqQAM,true,70156,37603
0063Z00000fwHMoQAM,true,45725,95066
0063Z00000fwHO6QAM,true,61521,38971
0063Z00000fwHOkQAM,true,59193,92506
0063Z00000fwHPsQAM,true,61870,64207
0063Z00000fwHR0QAM,true,35135,91873
0063Z00000fwHTzQAM,true,45698,43098
0063Z00000fwHnoQAE,true,36766,59756
